"nativeSpeaker","age","shoeSize","score"
"yes",5,24.8318890603793,32.2938495839488
"yes",6,25.9523777560525,36.6310493083567
"no",11,30.4216999780072,49.6059270315876
"yes",7,28.6645005368083,40.2845559153003
"yes",11,31.8820702912789,55.4608511875876
"yes",10,30.0784292461561,52.8312379411734
"no",7,27.2596288872267,34.4022890161804
"yes",11,30.723984620611,55.5274712497199
"yes",5,25.6441090671509,32.4993488685897
"no",7,26.6983486375494,33.9326917243724
"yes",11,31.8664482197483,55.4687633811464
"yes",10,29.1557548580304,51.3414040352261
"no",9,29.1315604465934,41.7709806438172
"no",6,26.8651279637944,30.0330444437208
"no",5,24.2341954085438,25.6226761333974
"yes",6,25.6753782027746,35.3004161555134
"no",5,24.8635728674147,25.6284266420218
"no",6,26.1535725063649,30.7659115053427
"no",9,27.8205745943617,41.9384552513992
"yes",5,24.8676626483804,31.6998648639753
"no",6,25.2105411572877,30.3708607455798
"no",6,27.3639525595397,29.2995066410318
"no",8,28.6642854370257,38.088366877649
"yes",9,29.9845547219791,48.6298567247537
"yes",10,30.8416766702223,52.4107894440092
"no",7,26.8069564331648,34.1883494486224
"yes",6,26.8876837288928,35.3458316218526
"yes",8,28.4265003735639,43.7203672587751
"no",11,31.7115924151977,48.6796465119362
"yes",8,27.777120437836,44.1472785835095
"yes",9,28.8845164906188,48.6963848770062
"yes",7,26.6674318636227,39.6552030180854
"no",9,28.9136183918495,41.7973899050077
"no",9,27.8804813070095,42.4219526998305
"yes",7,25.4658090724859,39.7029311910536
"yes",8,27.7170116031878,44.0625546789358
"no",7,25.1856683158592,34.2784003502531
"yes",11,30.7896962052747,55.9810096934629
"yes",11,30.7566388886745,55.8603675021077
"yes",11,30.5139713283906,56.6082047169743
"no",5,26.2373176380277,26.1840060762596
"no",5,24.3603021427023,25.3615816206334
"no",7,27.6057149418845,32.8814584384603
"no",10,29.6475381361295,45.7617126318708
"yes",8,29.4931311696919,43.487255520018
"yes",7,26.9228253032387,38.9142530671677
"yes",8,28.3551065573673,44.9932353707166
"no",6,26.104331163028,29.350357983494
"yes",8,29.6355227411186,43.6669491051966
"yes",8,27.2530586104236,43.6838668297989
"no",8,26.2213676402906,37.7410267677251
"yes",6,26.1294206703211,36.2627821503846
"no",9,30.4619857882499,42.5019379575527
"no",7,27.8134160414269,34.3392124130943
"yes",10,29.3719888894703,52.8395106213929
"yes",10,29.3436618756633,51.9471814437323
"yes",7,25.4630836444748,39.5223875740723
"no",10,28.7730671510109,45.8553998998098
"no",11,30.3526272224311,50.0239852606663
"no",8,29.3279313438331,37.5217188383138
"yes",10,28.8746057531094,51.5377054293363
"no",7,26.6204194872471,33.9662279879959
"no",7,28.1148721875466,33.3962237077589
"no",11,30.9874135060898,50.2831045467005
"yes",10,29.2548799311652,50.8065041278461
"yes",5,24.5437244734456,31.956995894004
"no",8,26.9916254626675,37.6179095384391
"no",11,30.2662449738809,50.2245364150551
"no",7,27.8648949890342,34.2096486472483
"yes",10,30.1698174805904,52.1676267901666
"yes",7,25.5349486596386,40.2496478993938
"no",7,26.7574703309411,34.724583138202
"yes",10,29.6277283723818,51.4798424648014
"no",5,24.4149307311948,25.3284086457751
"no",9,30.6405606638809,42.8839164536078
"yes",7,26.7804453461009,39.3653892744199
"yes",8,28.5123580714251,43.6913978619598
"yes",5,23.6807119110392,32.332900804628
"no",7,26.7567051278176,33.1297814341953
"no",10,29.6522830608654,47.0850721860157
"no",9,29.3333650056668,41.2980415421619
"no",6,26.475425475453,29.5237489892447
"no",9,28.3592700495452,41.9292877449945
"no",8,27.1545900184094,38.3058727980379
"no",10,30.5849579223534,45.2021069294323
"yes",9,30.0823407387383,48.724011971312
"no",9,28.3449433855613,42.4276348144575
"yes",11,29.25025382764,55.9853288850585
"yes",9,28.2158257671791,48.1895708012852
"no",8,28.1087825685463,37.3920065403811
"no",8,26.7850721696866,37.4046001149209
"yes",10,31.0925776266328,51.9583558457516
"no",5,24.2921445354263,26.3793537343166
"no",7,27.0363505564489,33.5298620680912
"yes",7,24.922207568432,40.1992289804032
"no",6,27.226148366602,29.5409610020408
"yes",7,25.6101362051673,41.1514520568629
"yes",10,28.4487802750533,52.579306767083
"yes",7,27.6003389948322,40.0106444735245
"yes",11,31.973048752757,56.7115076768936
"yes",8,28.8496916764279,44.4083400582411
"yes",8,25.4045272463339,44.370635856739
"no",7,27.1236633416977,33.9226114079407
"no",8,27.7504286348109,37.983488836509
"no",10,28.6421163911017,46.209694826114
"no",9,28.7158197722492,41.5210201609178
"no",11,32.3277873363942,50.8400261339613
"yes",6,25.8506172657947,35.640164479612
"no",7,27.5885367475691,33.7800705805708
"yes",9,29.7688546439768,47.6446557546142
"no",9,27.5251175119809,41.962550835604
"yes",8,28.7068853026408,44.1671335164238
"yes",7,27.2481956286563,39.3270776981022
"yes",10,29.5031867438669,50.7246757979711
"no",5,24.1329282682464,25.2624913043679
"yes",9,29.2945942782649,47.6310979051858
"no",7,28.2901798276409,35.4563990381275
"yes",8,28.3211491762817,43.3811553294264
"no",9,29.1313505272571,42.693111103781
"no",6,27.0204093528891,29.4873943486825
